"Time (s)","Sound pressure level (dB)"
0.000000000E0,-4.692298175E1
1.494353333E-1,-4.608595828E1
2.514550833E-1,-4.763046162E1
3.568335833E-1,-4.875274658E1
4.625365417E-1,-4.944388480E1
5.683795833E-1,-4.687210683E1
6.747707083E-1,-4.885053136E1
7.810548333E-1,-4.808534652E1
8.850908333E-1,-4.869642575E1
9.916340000E-1,-5.037944353E1
1.097988458E0,-5.030053707E1
1.201749875E0,-5.107706638E1
1.303662458E0,-4.771841059E1
1.410152625E0,-4.844395790E1
1.513092500E0,-4.997990904E1
1.618412292E0,-4.794822517E1
1.724615875E0,-5.012291056E1
1.826945917E0,-4.872764387E1
1.933233375E0,-4.744810299E1
2.035211417E0,-4.599367517E1
2.141245833E0,-4.686143125E1
2.247547417E0,-4.450076566E1
2.351751125E0,-4.605847699E1
2.457863250E0,-4.686837559E1
2.564107292E0,-4.738033441E1
2.668446958E0,-4.709285051E1
2.774559292E0,-4.817087739E1
2.880892500E0,-4.655396566E1
2.985150000E0,-4.745103166E1
3.091218042E0,-4.776509466E1
3.192821500E0,-4.894359944E1
3.295027458E0,-5.033421742E1
3.401358708E0,-4.961156568E1
3.507711042E0,-4.731189712E1
3.614002250E0,-4.958940049E1
3.718576958E0,-4.640169732E1
3.824650125E0,-4.785068852E1
3.930962833E0,-4.711715039E1
4.035243417E0,-4.831631646E1
4.140928708E0,-4.805074926E1
4.247228625E0,-4.929106945E1
4.351945958E0,-4.787373044E1
4.457981292E0,-4.776613750E1
4.562345125E0,-4.995623118E1
4.668647750E0,-4.908676591E1
4.774578375E0,-4.793267703E1
4.880904333E0,-4.699098596E1
4.985344125E0,-4.889261220E1
5.091266917E0,-5.123661989E1
5.193832167E0,-4.882165521E1
5.300195292E0,-4.883154471E1
5.402012500E0,-4.942739171E1
5.507933958E0,-4.954473558E1
5.614225625E0,-4.861964911E1
5.718699667E0,-4.975026131E1
5.824318667E0,-4.916915012E1
5.930593583E0,-4.856303055E1
6.035365917E0,-4.759708194E1
6.141025917E0,-4.654446822E1
6.244189333E0,-4.962064629E1
6.350466125E0,-4.991066883E1
6.452089333E0,-4.855542257E1
6.556657917E0,-4.940569990E1
6.662967042E0,-5.111772609E1
6.768744750E0,-4.740786753E1
6.874338125E0,-5.115954413E1
6.980672125E0,-5.127322529E1
7.085440375E0,-4.837958605E1
7.191015667E0,-4.804734785E1
7.297467333E0,-5.026466689E1
7.402124875E0,-5.049396790E1
7.507703000E0,-4.946920929E1
7.611392583E0,-4.962063872E1
7.714701708E0,-4.696099603E1
7.818829125E0,-4.964697891E1
7.925099750E0,-5.080053804E1
8.030547667E0,-5.004106642E1
8.135501792E0,-4.973064480E1
8.241592667E0,-4.991587784E1
8.346113708E0,-4.910887839E1
8.452289833E0,-4.705766332E1
8.558390750E0,-4.694864160E1
8.661659292E0,-4.801857850E1
8.767993708E0,-4.913675993E1
8.871577625E0,-4.915271234E1
8.975064125E0,-4.230510992E1
9.081380917E0,-4.099529649E1
9.185604208E0,-4.824283482E1
9.290679583E0,-5.095124451E1
9.392397125E0,-4.845928263E1
9.498659250E0,-4.879141749E1
9.602337542E0,-4.916346530E1
9.708347583E0,-4.761232318E1
9.814672042E0,-4.408408935E1
9.919020250E0,-3.801882248E1
1.002535379E1,-4.148626547E1
1.013170813E1,-4.533088745E1
1.023578917E1,-4.733098289E1
1.034064171E1,-5.027109919E1
1.044469158E1,-4.383689438E1
1.054794858E1,-4.079633193E1
1.065236304E1,-4.132426126E1
1.075691092E1,-4.229556943E1
1.086054554E1,-4.577851001E1
1.096687117E1,-4.912549649E1
1.106912246E1,-4.699346941E1
1.117358492E1,-4.900052605E1
1.127596325E1,-4.871964276E1
1.138229067E1,-5.140104284E1
1.148581979E1,-4.554333984E1
1.159023029E1,-4.740532823E1
1.169492162E1,-4.968665265E1
1.180083525E1,-4.836335242E1
1.190691467E1,-4.596036882E1
1.201345542E1,-5.091723825E1
1.211917933E1,-4.981445447E1
1.222360687E1,-4.957732281E1
1.232989621E1,-4.822174702E1
1.243583304E1,-5.041731516E1
1.254019742E1,-4.735522942E1
1.264650862E1,-4.689844026E1
1.275255429E1,-4.650076430E1
1.285697796E1,-4.797705966E1
1.296345579E1,-4.846805940E1
1.306923992E1,-4.168241800E1
1.317356304E1,-4.787520514E1
1.327538908E1,-4.339276517E1
1.337848300E1,-4.690839464E1
1.348483188E1,-4.431618388E1
1.359021608E1,-4.326110643E1
1.369666629E1,-4.966972885E1
1.380262588E1,-4.929707424E1
1.390689550E1,-4.812304633E1
1.401323392E1,-4.956897941E1
1.411885937E1,-4.916652026E1
1.422356592E1,-4.885927813E1
1.432986687E1,-4.908154649E1
1.443598108E1,-4.899872918E1
1.454065946E1,-4.910566886E1
1.464621404E1,-5.043808699E1
1.475228588E1,-5.002688992E1
1.485695104E1,-4.015966921E1
1.496336850E1,-4.254630841E1
1.506935612E1,-4.452449162E1
1.517355933E1,-4.562656778E1
1.527982379E1,-4.373017164E1
1.538604912E1,-4.896020957E1
1.549194642E1,-2.776414453E1
1.559826425E1,-3.784365817E1
1.570274617E1,-4.764801960E1
1.580784967E1,-4.803686616E1
1.591421800E1,-4.943720538E1
1.601943700E1,-4.994761570E1
1.612544117E1,-4.909163906E1
1.623170242E1,-4.807101234E1
